id,X,y
37,"['How', 'long', 'has', 'it', 'been', 'since', 'you', 'reviewed', 'the', 'objectives', 'of', 'your', 'benefit', 'and', 'service', 'program', '?']","['How', ['long%3:00:02::'], 'has', 'it', ['be%2:42:03::'], 'since', 'you', ['review%2:31:00::'], 'the', ['objective%1:09:00::'], 'of', 'your', ['benefit%1:21:00::'], 'and', ['service%1:04:07::'], ['program%1:09:01::'], '?']"
93,"['Have', 'you', 'permitted', 'it', 'to', 'become', 'a', 'giveaway', 'program', 'rather', 'than', 'one', 'that', 'has', 'the', 'goal', 'of', 'improved', 'employee', 'morale', 'and', ',', 'consequently', ',', 'increased', 'productivity', '?']","['Have', 'you', ['permit%2:41:00::'], 'it', 'to', ['become%2:42:01::'], 'a', ['giveaway%1:21:00::'], ['program%1:09:01::'], ['rather%4:02:02::'], 'than', 'one', 'that', ['have%2:42:00::'], 'the', ['goal%1:09:00::'], 'of', ['improved%3:00:00::'], ['employee%1:18:00::'], ['morale%1:26:00::'], 'and', ',', ['consequently%4:02:00::'], ',', ['increased%3:00:00::'], ['productivity%1:07:00::'], '?']"
119,"['What', 'effort', 'do', 'you', 'make', 'to', 'assess', 'results', 'of', 'your', 'program', '?']","['What', ['effort%1:04:00::'], 'do', 'you', ['make%2:41:00::'], 'to', ['assess%2:31:00::'], ['result%1:11:00::'], 'of', 'your', ['program%1:09:01::'], '?']"
167,"['Do', 'you', 'measure', 'its', 'relation', 'to', 'reduced', 'absenteeism', ',', 'turnover', ',', 'accidents', ',', 'and', 'grievances', ',', 'and', 'to', 'improved', 'quality', 'and', 'output', '?']","['Do', 'you', ['measure%2:31:01::'], 'its', 'relation', 'to', ['reduced%3:00:04::'], ['absenteeism%1:04:00::'], ',', ['turnover%1:24:00::'], ',', ['accident%1:11:01::'], ',', 'and', ['grievance%1:10:01::'], ',', 'and', 'to', ['improved%5:00:00:better:00'], ['quality%1:07:00::'], 'and', ['output%1:04:00::'], '?']"
189,"['Have', 'you', 'set', 'specific', 'objectives', 'for', 'your', 'employee', 'publication', '?']","['Have', 'you', ['set%2:32:00::'], ['specific%3:00:00::'], ['objective%1:09:00::'], 'for', 'your', ['employee%1:18:00::'], ['publication%1:10:00::'], '?']"
203,"['Is', 'it', 'reaching', 'these', 'goals', '?']","['Is', 'it', ['reach%2:38:06::'], 'these', ['goal%1:09:00::'], '?']"
225,"['Is', 'it', 'larger', 'or', 'fancier', 'than', 'you', 'really', 'need', '?']","[['be%2:42:03::'], 'it', ['larger%5:00:00:large:00'], 'or', ['fancy%3:00:00::'], 'than', 'you', ['really%4:02:03::'], ['need%2:34:00::'], '?']"
253,"['Are', 'you', 'using', 'the', 'most', 'economical', 'printing', 'methods', ',', 'paper', ',', 'etc.', '.']","['Are', 'you', ['use%2:34:01::'], 'the', ['most%4:02:00::'], ['economical%5:00:00:efficient:00'], ['printing%1:04:00::'], ['method%1:09:00::'], ',', ['paper%1:27:00::'], ',', 'etc.', '.']"
279,"['Are', 'there', 'other', ',', 'cheaper', 'communications', 'techniques', 'that', 'could', 'be', 'substituted', '?']","[['be%2:42:00::'], 'there', ['other%3:00:00::'], ',', ['cheap%3:00:00::'], ['communication%1:10:01::'], ['technique%1:09:00::'], 'that', 'could', 'be', ['substitute%2:40:00::'], '?']"
319,"['Has', 'your', 'attitude', 'toward', 'employee', 'benefits', 'encouraged', 'an', 'excess', 'of', 'free', '``', 'government', ""''"", 'work', 'in', 'your', 'plant', '?']","['Has', 'your', ['attitude%1:09:00::'], 'toward', ['employee%1:18:00::'], ['benefit%1:21:00::'], ['encourage%2:41:00::'], 'an', ['excess%1:07:02::'], 'of', ['free%5:00:00:unpaid:00'], '``', ['government%1:14:00::'], ""''"", ['work%1:04:00::'], 'in', 'your', ['plant%1:06:01::'], '?']"
343,"['Is', 'your', 'purchasing agent', 'offering', 'too much', 'free', 'buying', 'service', 'for', 'employees', '?']","['Is', 'your', ['purchasing_agent%1:18:00::'], ['offer%2:40:02::'], ['too_much%4:02:00::'], ['free%3:00:00::'], ['buying%1:04:00::'], ['service%1:14:05::', 'service%1:04:00::'], 'for', ['employee%1:18:00::'], '?']"
409,"['When', 'improvements', 'are', 'recommended', 'in', 'working', 'conditions', '-', 'such', 'as', 'lighting', ',', 'rest rooms', ',', 'eating', 'facilities', ',', 'air-conditioning', '-', 'do', 'you', 'try', 'to', 'set', 'a', 'measure', 'of', 'their', 'effectiveness', 'on', 'productivity', '?']","['When', ['improvement%1:04:00::'], 'are', ['recommend%2:32:01::'], 'in', ['working%5:00:00:employed:00'], ['condition%1:26:00::'], '-', 'such', 'as', ['lighting%1:06:00::'], ',', ['restroom%1:06:00::'], ',', ['eating%1:04:00::'], ['facility%1:06:00::'], ',', 'air-conditioning', '-', 'do', 'you', ['try%2:41:00::'], 'to', ['set%2:32:00::'], 'a', 'measure', 'of', 'their', ['effectiveness%1:07:00::'], 'on', ['productivity%1:07:00::'], '?']"
463,"['When', 'negotiating', 'with', 'your', 'union', ',', 'do', 'you', 'make', 'sure', 'employees', 'have', 'a', 'choice', 'between', 'new', 'benefits', 'and', 'their', 'cents', 'per', 'hour', 'cost', 'in', 'wages', '.']","['When', ['negotiate%2:32:00::'], 'with', 'your', ['union%1:14:01::'], ',', 'do', 'you', ['make%2:30:00::'], ['sure%5:00:00:careful:00'], ['employee%1:18:00::'], ['have%2:40:00::'], 'a', ['choice%1:04:00::'], 'between', ['new%3:00:00::'], ['benefit%1:21:00::'], 'and', 'their', ['cent%1:23:00::'], 'per', ['hour%1:28:00::'], ['cost%1:21:00::'], 'in', ['wage%1:21:00::'], '.']"
523,"['Can', 'you', 'consider', 'restricting', 'any', 'additional', 'employee', 'benefits', 'to', 'those', 'paid', 'for', 'by', 'profit-sharing', 'money', ',', 'such', 'as', 'was', 'done', 'in', 'the', 'union', 'contract', 'recently', 'signed', 'by', 'American Motors Corporation', '?']","['Can', 'you', ['consider%2:32:02::'], ['restrict%2:30:02::'], 'any', 'additional', ['employee%1:18:00::'], ['benefit%1:21:00::'], 'to', 'those', ['pay%2:40:00::'], 'for', 'by', ['profit_sharing%1:21:00::'], ['money%1:21:00::'], ',', 'such', 'as', 'was', ['do%2:41:01::'], 'in', 'the', ['union%1:14:01::'], ['contract%1:10:00::'], ['recently%4:02:00::'], ['sign%2:41:00::'], 'by', ['group%1:03:00::'], '?']"
553,"['Do', 'your', 'employees', 'understand', 'all', 'the', 'benefits', 'to', 'which', 'your', 'insurance', 'entitles', 'them', '?']","['Do', 'your', ['employee%1:18:00::'], ['understand%2:31:00::'], 'all', 'the', ['benefit%1:21:00::'], 'to', 'which', 'your', ['insurance%1:10:00::'], ['entitle%2:41:00::'], 'them', '?']"
579,"['Are', 'they', 'encouraged', 'to', 'take', 'full', 'legal', 'advantage', 'of', 'these', 'benefits', '?']","['Are', 'they', ['encourage%2:41:00::'], 'to', ['take_advantage%2:40:00::'], ['full%5:00:01:whole:00'], ['legal%3:00:00::'], 'advantage', 'of', 'these', ['benefit%1:21:00::'], '?']"
613,"['Have', 'you', 'publicized', 'the', 'cents', 'per', 'hour', 'value', 'of', 'the', 'company', ""'s"", 'share', 'of', 'insurance premiums', '?']","['Have', 'you', ['publicize%2:32:01::'], 'the', ['cent%1:23:00::'], 'per', ['hour%1:28:00::'], ['value%1:09:00::'], 'of', 'the', ['company%1:14:01::'], ""'s"", ['share%1:21:00::'], 'of', ['insurance_premium%1:21:00::'], '?']"
651,"['When', 'did', 'you', 'last', None, 'your', 'present', 'premium', 'costs', 'with', 'the', 'costs', 'of', 'insurance', 'from', 'other', 'sources', '?']","['When', 'did', 'you', ['last%4:02:00::'], ['compare%2:31:00::'], 'your', ['present%3:00:01::'], ['premium%1:21:02::'], ['cost%1:07:00::'], 'with', 'the', ['cost%1:07:00::'], 'of', ['insurance%1:21:02::'], 'from', ['other%3:00:00::'], ['source%1:10:00::'], '?']"
673,"['Can', 'your', 'insurance company', 'aid', 'you', 'in', 'reducing', 'administrative', 'costs', '?']","['Can', 'your', ['insurance_company%1:14:00::'], ['aid%2:41:00::'], 'you', 'in', ['reduce%2:30:00::'], ['administrative%3:01:00::'], ['cost%1:21:00::'], '?']"
715,"['Do', 'you', 'try', 'to', 'maintain', 'the', 'principle', 'of', 'employee', 'contributed', '(', 'as', 'opposed', 'to', 'fully', 'company', 'paid', ')', 'programs', '?']","['Do', 'you', ['try%2:41:00::'], 'to', ['maintain%2:40:00::'], 'the', ['principle%1:09:01::'], 'of', ['employee%1:18:00::'], ['contribute%2:40:00::'], '(', 'as', ['oppose%2:42:00::'], 'to', ['fully%4:02:03::'], ['company%1:14:01::'], ['paid%3:00:00::'], ')', ['program%1:09:00::'], '?']"
751,"['Do', 'you', 'protect', 'your', 'holiday', 'privileges', 'with', 'an', 'attendance', 'requirement', 'both', 'before', 'and', 'after', 'the', 'holiday', '?']","['Do', 'you', ['protect%2:33:00::'], 'your', ['holiday%1:28:01::'], ['privilege%1:07:02::'], 'with', 'an', ['attendance%1:04:00::'], ['requirement%1:09:01::'], 'both', 'before', 'and', 'after', 'the', ['holiday%1:28:00::'], '?']"
783,"['Do', 'you', 'plan', 'to', 'limit', 'additional', 'holidays', 'to', 'area', 'and', '/', 'or', 'industrial', 'patterns', '?']","['Do', 'you', ['plan%2:31:01::'], 'to', ['limit%2:30:00::'], 'additional', ['holiday%1:28:00::'], 'to', ['area%1:15:01::'], 'and', '/', 'or', 'industrial', ['pattern%1:04:00::'], '?']"
835,"['Have', 'you', 'investigated', 'the', 'possibility', 'of', 'moving', 'midweek', 'holidays', 'forward', 'to', 'Monday', 'or', 'back', 'to', 'Friday', 'in', 'order', 'to', 'have', 'an', 'uninterrupted', 'work', 'week', '?']","['Have', 'you', ['investigate%2:32:00::'], 'the', ['possibility%1:09:01::'], 'of', ['move%2:38:01::'], 'midweek', ['holiday%1:28:01::'], ['forward%4:02:02::'], 'to', ['monday%1:28:00::'], 'or', ['back%4:02:01::'], 'to', ['friday%1:28:00::'], 'in', 'order', 'to', ['have%2:40:00::'], 'an', ['uninterrupted%5:00:00:unbroken:02'], ['work%1:04:00::'], ['week%1:28:01::'], '?']"
875,"['Are', 'you', 'carefully', 'policing', 'wash-up', 'time', 'and', 'rest', 'periods', 'to', 'be', 'certain', 'that', 'all', 'other', 'time', 'is', 'productive', '?']","['Are', 'you', ['carefully%4:02:00::'], ['police%2:41:00::'], ['washup%1:04:00::'], ['time%1:11:00::'], 'and', ['rest%1:04:00::'], ['period%1:28:00::'], 'to', ['be%2:42:03::'], ['certain%3:00:02::'], 'that', ['all%3:00:00::'], ['other%3:00:00::'], ['time%1:11:00::'], ['be%2:42:03::'], ['productive%3:00:00::'], '?']"
935,"['Are', 'you', 'watching', 'work', 'schedules', 'for', 'boiler', 'operators', ',', 'guards', ',', 'and', 'other', '24', '-', 'hour', 'day', ',', '7', '-', 'day', 'week', 'operations', 'in', 'order', 'to', 'minimize', 'overtime', '?']","['Are', 'you', ['watch%2:41:00::'], ['work%1:04:00::'], ['schedule%1:09:00::'], 'for', ['boiler%1:06:00::'], ['operator%1:18:00::'], ',', ['guard%1:18:03::'], ',', 'and', ['other%3:00:00::'], ['24%5:00:00:cardinal:00'], '-', ['hour%1:28:00::'], ['day%1:28:00::'], ',', ['7%5:00:00:cardinal:00'], '-', ['day%1:28:00::'], ['week%1:28:00::'], ['operation%1:26:00::'], 'in', 'order', 'to', ['minimize%2:30:00::'], ['overtime%1:28:01::'], '?']"
979,"['Are', 'you', 'careful', 'to', 'restrict', 'the', 'number', 'of', 'people', 'on', 'leave', 'at one time', 'so', 'that', 'your', 'total', 'employment', 'obligation', 'is', 'minimized', '?']","['Are', 'you', ['careful%3:00:00::'], 'to', ['restrict%2:30:02::'], 'the', ['number%1:07:00::'], 'of', ['people%1:14:00::'], 'on', 'leave', ['at_one_time%4:02:00::'], ['so%4:02:06::'], 'that', 'your', ['total%5:00:00:whole:00'], ['employment%1:04:02::'], ['obligation%1:26:00::'], ['be%2:42:03::'], ['minimized%5:00:02:decreased:00'], '?']"
